zoo_name,city,state,address,latitude,longitude,num_animals,acres,hour_open,hour_close,annual_visitors,website,
Naples Zoo,Naples,FL,1590 Goodlette-Frank Rd,26.1692,-81.7889,240,43,9:00,17:00,360000,http://napleszoo.org/,
Nashville Zoo,Nashville,TN,3777 Nolensville Pike,36.09,-86.7337,2285,200,9:00,18:00,650000,https://www.nashvillezoo.org/,
National Aviary,Pittsburgh,PA,700 Arch St,40.4536,-80.0103,600,1.5,10:00,17:00,100000,https://www.aviary.org/,
North Carolina Zoo,Ashboro,NC,4401 Zoo Pkwy,35.6219,-79.7549,1600,550,9:00,17:00,750000,http://www.nczoo.org/,
Northeastern Wisconsin Zoo,Suamico,WI,4378 Reforestation Rd,44.66,-88.0887,215,43,9:00,20:00,500000,http://newzoo.org/,
Northwest Trek Wildlife Park,Eatonville,WA,11610 Trek Dr E,46.9147,-122.2762,202,723,9:30,16:00,210000,https://www.nwtrek.org/,
Oakland Zoo,Oakland,CA,9777 Golf Links Rd,37.7499,-122.1467,440,100,10:00,16:00,650000,http://www.oaklandzoo.org/,
Oglebay's Good Zoo,Wheeling,WV,465 Lodge Dr,40.10194,-80.66889,,35,10:00,16:00,115000,http://www.oglebay-resort.com/goodzoo/,
Oklahoma City Zoo,Oklahoma City,OK,2000 Remington Pl,35.5235,-97.4725,1900,119,9:00,17:00,1000000,http://www.okczoo.org/,
Omaha's Henry Doorly Zoo & Aquarium,Omaha,NE,3701 S 10th St,41.2249,-95.9266,,130,9:00,17:00,1700000,http://www.omahazoo.com/,
Oregon Zoo,Portland,OR,4001 SW Canyon Rd,45.51,-122.7159,1955,64,9:30,16:00,1600000,http://www.oregonzoo.org/,
Palm Beach Zoo at Dreher Park,West Palm Beach,FL,1301 Summit Boulevard,26.6661,-80.0687,700,23,9:00,17:00,314000,http://www.palmbeachzoo.org/,
Peoria Zoo,Peoria,IL,2320 N Prospect Rd,40.7159,-89.5741,232,14,10:00,17:00,150000,https://www.peoriazoo.org,
Philadelphia Zoo,Philadelphia,PA,3400 W Girard Ave,39.9715,-75.1963,2500,42,9:30,17:00,1350000,www.philadelphiazoo.org,
